"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Strixhaven Pennant","SCC","common","wondrous item","","","",""
"Sun Blade","DMG","rare","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, radiant, - finesse, versatile (1d10)","3 lb.",""
"Sunforger","GGR","rare","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.",""
"Sunsword","CoS","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, radiant, - finesse, versatile (1d10)","3 lb.",""
"Sword of Answering","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Answerer)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a chaotic good creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Back Talker)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a chaotic evil creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Concluder)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a lawful neutral creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Last Quip)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a chaotic neutral creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Rebutter)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a neutral good creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Replier)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a neutral creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Retorter)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a lawful good creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Scather)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a lawful evil creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Answering (Squelcher)","DMG","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a neutral evil creature","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Kas","DMG","artifact","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of Life Stealing","DMG","rare","generic variant","requires attunement","","",""
"Sword of Sharpness","DMG","very rare","generic variant","requires attunement","","",""
"Sword of Vengeance","DMG","uncommon","generic variant","requires attunement","","",""
"Sword of Wounding","DMG","rare","generic variant","requires attunement","","",""
"Sword of Zariel","BGDIA","artifact","weapon (longsword), martial weapon, melee weapon","requires attunement by a creature the sword deems worthy","1d8, slashing, - versatile (1d10)","3 lb.",""
"Sword of the Paruns","GGR","very rare","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Talisman of Pure Good","DMG","legendary","wondrous item","requires attunement by a creature of good alignment","","1 lb.",""
"Talisman of Ultimate Evil","DMG","legendary","wondrous item","requires attunement by a creature of evil alignment","","1 lb.",""
"Talisman of the Sphere","DMG","legendary","wondrous item","requires attunement","","1 lb.",""
"Talking Doll","XGE","common","wondrous item","requires attunement","","",""
"Tankard of Plenty","HotDQ","unknown (magic)","other","","","",""
"Tankard of Sobriety","XGE","common","wondrous item","","","",""
"Tearulai","WDMM","very rare","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Teeth of Dahlver-Nar","TCE","artifact","wondrous item","requires attunement","","",""
"Teleportation Tablet","CRCotN","rare","wondrous item","","","",""
"Teleporter Ring","WDH","unknown (magic)","ring","","","",""
"Tentacle Rod","DMG","rare","rod","requires attunement","","2 lb.",""
"The Bloody End","EGW","artifact","weapon (morningstar), martial weapon, melee weapon","requires attunement","1d8, piercing","4 lb.",""
"The Bloody End (Awakened)","EGW","artifact","weapon (morningstar), martial weapon, melee weapon","requires attunement","1d8, piercing","4 lb.",""
"The Bloody End (Dormant)","EGW","artifact","weapon (morningstar), martial weapon, melee weapon","requires attunement","1d8, piercing","4 lb.",""
"The Bloody End (Exalted)","EGW","artifact","weapon (morningstar), martial weapon, melee weapon","requires attunement","1d8, piercing","4 lb.",""
"The Codicil of White","IDRotF","unknown (magic)","wondrous item","","","",""
"The Infernal Machine of Lum the Mad","IMR","artifact","wondrous item","requires attunement","","",""
"Thermal Cube","IDRotF","common","wondrous item","","","",""
"Thessaltoxin Antidote","IMR","uncommon","potion","","","",""
"Thunder Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Timepiece of Travel","AI","very rare","wondrous item","requires attunement","","",""
"Tinderstrike","PotA","legendary","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Tome of Clear Thought","DMG","very rare","wondrous item","","","5 lb.",""
"Tome of Leadership and Influence","DMG","very rare","wondrous item","","","5 lb.",""
"Tome of Understanding","DMG","very rare","wondrous item","","","5 lb.",""
"Tome of the Stilled Tongue","DMG","legendary","wondrous item","requires attunement by a wizard","","5 lb.",""
"Topaz Annihilator","FTD","legendary","range, firearm","requires attunement","2d6, necrotic, - two-handed","",""
"Travel Alchemical Kit","AI","uncommon","wondrous item","","","",""
"Treebane","CoS","unknown (magic)","weapon (battleaxe), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","2 lb.",""
"Trident of Fish Command","DMG","uncommon","weapon (trident), martial weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.",""
"Two-Birds Sling","MOT","rare","weapon (sling), range, simple weapon","","1d4, bludgeoning, - ammunition (30/120 ft.)","",""
"Unbreakable Arrow","XGE","common","ammunition","","","",""
"Uncommon Glamerweave","ERLW","uncommon","wondrous item","","","",""
"Universal Solvent","DMG","legendary","wondrous item","","","",""
"Vanrak's Mithral Shirt","WDMM","uncommon","medium armor (chain shirt)","","AC 13 + Dex (max 2)","20 lb.",""
"Ventilating Lungs","ERLW","rare","wondrous item","requires attunement","","",""
"Verminshroud","EGW","legendary","wondrous item","requires attunement","","",""
"Verminshroud (Awakened)","EGW","legendary","wondrous item","requires attunement","","",""
"Verminshroud (Dormant)","EGW","legendary","wondrous item","requires attunement","","",""
"Verminshroud (Exalted)","EGW","legendary","wondrous item","requires attunement","","",""
"Veteran's Cane","XGE","common","wondrous item","","","",""
"Vicious +1 Weapon","AI","unknown (magic)","generic variant","","","",""
"Vicious Weapon","DMG","rare","generic variant","","","",""
"Vorpal Sword","DMG","legendary","generic variant","requires attunement","","",""
"Voting Kit","AI","common","wondrous item","","","",""
"Vox Seeker","EGW","common","wondrous item","","","",""
"Voyager Staff","GGR","very rare","staff, weapon, simple weapon, melee weapon","requires attunement by a spellcaster","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Wakened Dragon Vessel","FTD","very rare","wondrous item","requires attunement","","",""
"Wakened Dragon's Wrath Weapon","FTD","very rare","generic variant","requires attunement","","",""
"Wakened Dragon-Touched Focus","FTD","very rare","wondrous item","requires attunement by a spellcaster","","",""
"Wakened Scaled Ornament","FTD","very rare","wondrous item","requires attunement","","",""
"Walloping Ammunition","XGE","common","ammunition, generic variant","","","",""
"Wand Sheath","ERLW","common","wondrous item","requires attunement by a warforged","","",""
"Wand of Binding","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Conducting","XGE","common","wand","","","1 lb.",""
"Wand of Enemy Detection","DMG","rare","wand","requires attunement","","1 lb.",""
"Wand of Entangle","TftYP","uncommon","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Fear","DMG","rare","wand","requires attunement","","1 lb.",""
"Wand of Fireballs","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Lightning Bolts","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Magic Detection","DMG","uncommon","wand","","","1 lb.",""
"Wand of Magic Missiles","DMG","uncommon","wand","","","1 lb.",""
"Wand of Orcus","DMG","artifact","weapon (mace), wand, simple weapon, melee weapon","requires attunement","1d6, bludgeoning","4 lb.",""
"Wand of Paralysis","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Polymorph","DMG","very rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Pyrotechnics","XGE","common","wand","","","1 lb.",""
"Wand of Scowls","XGE","common","wand","","","1 lb.",""
"Wand of Secrets","DMG","uncommon","wand","","","1 lb.",""
"Wand of Smiles","XGE","common","wand","","","1 lb.",""
"Wand of Viscid Globs","OotA","rare","wand","requires attunement","","1 lb.",""
"Wand of Web","DMG","uncommon","wand","requires attunement by a spellcaster","","1 lb.",""
"Wand of Winter","HotDQ","rare","wand","requires attunement","","1 lb.",""
"Wand of Wonder","DMG","rare","wand","requires attunement by a spellcaster","","1 lb.",""
"Watchful Helm","CM","very rare","wondrous item","requires attunement","","",""
"Wave","DMG","legendary","weapon (trident), martial weapon, melee weapon","requires attunement by a creature that worships a god of the sea","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.",""
"Waythe","TftYP","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement","2d6, slashing, - heavy, two-handed","6 lb.",""
"Weapon of Certain Death","EGW","rare","generic variant","","","",""
"Weapon of Warning","DMG","uncommon","generic variant","requires attunement","","",""
"Weird Tank","PotA","rare","wondrous item","requires attunement","","",""
"Well of Many Worlds","DMG","legendary","wondrous item","","","",""
"Wheel of Stars","AI","very rare","wondrous item","requires attunement","","",""
"Wheel of Wind and Water","ERLW","uncommon","wondrous item","","","",""
"Whelm","DMG","legendary","weapon (warhammer), martial weapon, melee weapon","requires attunement by a dwarf","1d8, bludgeoning, - thrown (20/60 ft.), versatile (1d10)","2 lb.",""
"Whisper Jar","AI","varies","wondrous item","requires attunement","","",""
"White Chromatic Rose","WBtW","rare","wondrous item","","","",""
"White Dragon Cape","TftYP","unknown (magic)","other","","","",""
"White Dragon Mask","RoTOS","legendary","wondrous item","requires attunement","","",""
"White Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Will of the Talon","EGW","artifact","weapon (war pick), martial weapon, melee weapon","requires attunement","1d8, piercing","2 lb.",""
"Will of the Talon (Awakened)","EGW","artifact","weapon (war pick), martial weapon, melee weapon","requires attunement","1d8, piercing","2 lb.",""
"Will of the Talon (Dormant)","EGW","artifact","weapon (war pick), martial weapon, melee weapon","requires attunement","1d8, piercing","2 lb.",""
"Will of the Talon (Exalted)","EGW","artifact","weapon (war pick), martial weapon, melee weapon","requires attunement","1d8, piercing","2 lb.",""
"Wind Fan","DMG","uncommon","wondrous item","","","",""
"Windvane","PotA","legendary","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - finesse, thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Winged Boots","DMG","uncommon","wondrous item","requires attunement","","",""
"Wings of Flying","DMG","rare","wondrous item","requires attunement","","",""
"Wingwear","PotA","uncommon","wondrous item","requires attunement","","",""
"Winter's Dark Bite","HftT","uncommon","weapon (greatsword), martial weapon, melee weapon","","2d6, slashing, - heavy, two-handed","6 lb.",""
"Witchlight Vane","WBtW","legendary","","requires attunement by a mister light or his handpicked successor","","3 lb.",""
"Witchlight Watch","WBtW","legendary","wondrous item","requires attunement by a mister witch or his handpicked successor","","",""
"Witherbloom Primer","SCC","uncommon","wondrous item","requires attunement by a spellcaster","","",""
"Woodcutter's Axe","WBtW","rare","weapon (greataxe), martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.",""
"Wreath of the Prism","EGW","legendary","wondrous item","requires attunement","","",""
"Wreath of the Prism (Awakened)","EGW","legendary","wondrous item","requires attunement","","",""
"Wreath of the Prism (Dormant)","EGW","legendary","wondrous item","requires attunement","","",""
"Wreath of the Prism (Exalted)","EGW","legendary","wondrous item","requires attunement","","",""
"Wyllow's Staff of Flowers","WDMM","common","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Wyrmskull Throne","SKT","artifact","wondrous item","","","",""
"Ythryn Mythallar","IDRotF","legendary","wondrous item","requires attunement by a spellcaster","","",""
